"Status","Name","Duration in ms","Description"
"passed","main.java.homework_6.Paralel_Test.runToDevice","12812",""
"failed","main.java.homework_6.Task_1.runToDevice","15874",""
"skipped","main.java.homework_6.Paralel_Test.runToDevice","0",""
"passed","main.java.homework_6.Task_1.runToDevice","26348",""
"broken","main.java.homework_6.Paralel_Test.runToDevice","12074",""
"passed","main.java.homework_6.Task_1.runToDevice","11250",""
"broken","main.java.homework_6.Properties.tearDown","7",""
"passed","main.java.homework_6.Task_1.runToDevice","13002",""
"passed","main.java.homework_6.Task_1.runToDevice","16659","Filter Iteration"
"passed","main.java.homework_6.Task_1.runToDevice","15991","Filter Iteration"
"skipped","main.java.homework_6.Task_1.runToDevice","1",""
"passed","main.java.homework_6.Task_1.runToDevice","26337","Filter Iteration"
"passed","main.java.homework_6.Paralel_Test.runToDevice","16882",""
"passed","main.java.homework_6.Task_1.runToDevice","22518",""
"passed","main.java.homework_6.Task_1.runToDevice","13603",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","21935",""
"failed","main.java.homework_6.Task_1.runToDevice","15875","Filter Iteration"
"failed","main.java.homework_6.Paralel_Test.runToDevice","20120",""
"skipped","main.java.homework_6.Paralel_Test.runToDevice","19457",""
"passed","main.java.homework_6.Task_1.runToDevice","20583","Filter Iteration"
"failed","main.java.homework_6.Task_1.runToDevice","13430",""
"failed","main.java.homework_6.Task_1.runToDevice","20973","Filter Iteration"
"passed","main.java.homework_6.Paralel_Test.runToDevice","13950",""
"failed","main.java.homework_6.Task_1.runToDevice","19636","Filter Iteration"
"skipped","main.java.homework_6.Paralel_Test.runToDevice","1",""
"broken","main.java.homework_6.Properties.setUp","6",""
"passed","main.java.homework_6.Task_1.runToDevice","14213",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","15301",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","23579",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","21690",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","23715",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","22113",""
"passed","main.java.homework_6.Task_1.runToDevice","17593",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","10087",""
"passed","main.java.homework_6.Task_1.runToDevice","14606",""
"passed","main.java.homework_6.Task_1.runToDevice","16984",""
"failed","main.java.homework_6.Task_1.runToDevice","16267",""
"skipped","main.java.homework_6.Task_1.runToDevice","0",""
"passed","main.java.homework_6.Task_1.runToDevice","17223",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","13447",""
"failed","main.java.homework_6.Task_1.runToDevice","14567","Filter Iteration"
"broken","main.java.homework_6.Properties.setUp","1",""
"failed","main.java.homework_6.Paralel_Test.runToDevice","16093",""
"broken","main.java.homework_6.Properties.setUp","0",""
"failed","main.java.homework_6.Paralel_Test.runToDevice","11375",""
"passed","main.java.homework_6.Task_1.runToDevice","18930",""
"failed","main.java.homework_6.Paralel_Test.runToDevice","19084",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","9088",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","20180",""
"passed","main.java.homework_6.Task_1.runToDevice","21638",""
"passed","main.java.homework_6.Task_1.runToDevice","13661",""
"passed","main.java.homework_6.Task_1.runToDevice","26741","Filter Iteration"
"failed","main.java.homework_6.Task_1.runToDevice","20268","Filter Iteration"
"failed","main.java.homework_6.Paralel_Test.runToDevice","23113",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","11806",""
"passed","main.java.homework_6.Task_1.runToDevice","26444","Filter Iteration"
"skipped","main.java.homework_6.Task_1.runToDevice","21303",""
"broken","main.java.homework_6.Task_1.runToDevice","2",""
"passed","main.java.homework_6.Task_1.runToDevice","15204",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","10612",""
"passed","main.java.homework_6.Task_1.runToDevice","14859",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","11945",""
"failed","main.java.homework_6.Task_1.runToDevice","13642",""
"broken","main.java.homework_6.Properties.setUp","6",""
"passed","main.java.homework_6.Task_1.runToDevice","17169",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","10962",""
"failed","main.java.homework_6.Task_1.runToDevice","12540",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","27875",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","18901",""
"passed","main.java.homework_6.Task_1.runToDevice","16277",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","26139",""
"passed","main.java.homework_6.Task_1.runToDevice","11677",""
"passed","main.java.homework_6.Task_1.runToDevice","16151","Filter Iteration"
"broken","main.java.homework_6.Task_1.runToDevice","11456","Filter Iteration"
"passed","main.java.homework_6.Task_1.runToDevice","14534",""
"passed","main.java.homework_6.Task_1.runToDevice","24115","Filter Iteration"
"failed","main.java.homework_6.Paralel_Test.runToDevice","18145",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","27207",""
"passed","main.java.homework_6.Task_1.runToDevice","20295","Filter Iteration"
"passed","main.java.homework_6.Paralel_Test.runToDevice","9138",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","22161",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","28688",""
"passed","main.java.homework_6.Task_1.runToDevice","19252","Filter Iteration"
"failed","main.java.homework_6.Task_1.runToDevice","13866",""
"failed","main.java.homework_6.Paralel_Test.runToDevice","23158",""
"passed","main.java.homework_6.Task_1.runToDevice","22421","Filter Iteration"
"failed","main.java.homework_6.Paralel_Test.runToDevice","22921",""
"failed","main.java.homework_6.Paralel_Test.runToDevice","14145",""
"failed","main.java.homework_6.Paralel_Test.runToDevice","14928",""
"passed","main.java.homework_6.Paralel_Test.runToDevice","17359",""
"passed","main.java.homework_6.Task_1.runToDevice","15888",""
"passed","main.java.homework_6.Task_1.runToDevice","35397","Filter Iteration"
"failed","main.java.homework_6.Task_1.runToDevice","22845","Filter Iteration"
"passed","main.java.homework_6.Paralel_Test.runToDevice","16089",""
"failed","main.java.homework_6.Paralel_Test.runToDevice","17973",""
"failed","main.java.homework_6.Task_1.runToDevice","14990",""
"passed","main.java.homework_6.Task_1.runToDevice","24700",""
"passed","main.java.homework_6.Task_1.runToDevice","14803",""
"failed","main.java.homework_6.Task_1.runToDevice","23977","Filter Iteration"
"failed","main.java.homework_6.Paralel_Test.runToDevice","15574",""
